No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
99,70:30,"(128, 64, 32, 16)",relu,0.6,12,0.94952,0.5002,0.5001,0.6667,0.0,1.0,0.0005,0.0,0.6668,0.0011,0.0,5250,3675,1575
100,70:30,"(128, 64, 32, 16)",relu,0.012,31,0.00943,0.9906,0.9989,0.9923,0.9603,0.9949,0.9807,0.9994,0.9969,0.9865,0.9795,5250,3675,1575
101,70:30,"(128, 64, 32, 16)",relu,0.01,47,0.00333,0.9967,0.9987,0.9946,0.9949,0.9981,0.9959,0.9937,0.9984,0.9952,0.9943,5250,3675,1575
102,70:30,"(128, 64, 32, 16)",relu,0.015,31,0.00943,0.9906,0.9994,0.9936,0.9557,0.9956,0.9793,1.0,0.9975,0.9864,0.9774,5250,3675,1575
103,70:30,"(128, 64, 32, 16)",relu,0.018,26,0.01067,0.9893,0.9988,0.9832,0.9727,0.9897,0.9864,0.9949,0.9943,0.9848,0.9837,5250,3675,1575
104,70:30,"(128, 64, 32, 16)",relu,0.0111,31,0.0101,0.9899,0.9981,0.9909,0.9614,0.9947,0.9801,0.9968,0.9964,0.9855,0.9788,5250,3675,1575
105,70:30,"(128, 64, 32, 16)",tanh,0.04,12,0.02229,0.9777,0.9933,0.978,0.9291,0.9853,0.9578,0.9987,0.9893,0.9678,0.9627,5250,3675,1575
106,70:30,"(128, 64, 32, 16)",tanh,0.08,12,0.01857,0.9814,0.9944,0.9749,0.9548,0.985,0.972,0.9917,0.9897,0.9734,0.9729,5250,3675,1575
107,70:30,"(128, 64, 32, 16)",tanh,0.06,12,0.02029,0.9797,0.9944,0.975,0.9441,0.9834,0.9668,0.9975,0.9889,0.9709,0.9701,5250,3675,1575
108,70:30,"(128, 64, 32, 16)",tanh,0.005,34,0.00562,0.9944,0.9966,0.9916,0.9936,0.9973,0.9924,0.9892,0.997,0.992,0.9914,5250,3675,1575
109,70:30,"(128, 64, 32, 16)",tanh,0.009,32,0.00514,0.9949,0.9971,0.991,0.9962,0.9975,0.9943,0.9873,0.9973,0.9927,0.9917,5250,3675,1575
110,70:30,"(128, 64, 32, 16)",tanh,0.007,52,0.00324,0.9968,0.999,0.9946,0.9943,0.997,0.9962,0.9975,0.998,0.9954,0.9959,5250,3675,1575
111,70:30,"(128, 64, 32, 16)",tanh,0.2,12,0.0201,0.9799,0.9828,0.9761,0.9792,0.988,0.9663,0.9848,0.9854,0.9711,0.982,5250,3675,1575
112,70:30,"(128, 64, 32, 16)",tanh,0.6,52,0.00571,0.9943,0.9954,0.9943,0.9905,0.9973,0.9894,0.9956,0.9964,0.9918,0.993,5250,3675,1575
113,70:30,"(128, 64, 32, 16)",tanh,0.012,31,0.00619,0.9938,0.9937,0.9953,0.9905,0.9973,0.9869,0.9981,0.9955,0.9911,0.9943,5250,3675,1575
114,70:30,"(128, 64, 32, 16)",tanh,0.01,32,0.00476,0.9952,0.9975,0.9913,0.9968,0.9971,0.9951,0.9892,0.9973,0.9932,0.993,5250,3675,1575
115,70:30,"(128, 64, 32, 16)",tanh,0.015,19,0.0139,0.9861,0.9933,0.99,0.9545,0.9933,0.9701,0.9994,0.9933,0.9799,0.9764,5250,3675,1575
116,70:30,"(128, 64, 32, 16)",tanh,0.018,19,0.01314,0.9869,0.9926,0.9917,0.958,0.9947,0.9706,0.9987,0.9936,0.981,0.9779,5250,3675,1575
117,70:30,"(128, 64, 32, 16)",tanh,0.0111,32,0.00467,0.9953,0.9975,0.9916,0.9968,0.997,0.9951,0.9905,0.9972,0.9933,0.9936,5250,3675,1575
118,70:30,"(256, 128, 64, 32, 16)",logistic,0.04,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
119,70:30,"(256, 128, 64, 32, 16)",logistic,0.08,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
120,70:30,"(256, 128, 64, 32, 16)",logistic,0.06,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
121,70:30,"(256, 128, 64, 32, 16)",logistic,0.005,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
122,70:30,"(256, 128, 64, 32, 16)",logistic,0.009,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
123,70:30,"(256, 128, 64, 32, 16)",logistic,0.007,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
124,70:30,"(256, 128, 64, 32, 16)",logistic,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
125,70:30,"(256, 128, 64, 32, 16)",logistic,0.6,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
126,70:30,"(256, 128, 64, 32, 16)",logistic,0.012,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
127,70:30,"(256, 128, 64, 32, 16)",logistic,0.01,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
128,70:30,"(256, 128, 64, 32, 16)",logistic,0.015,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
129,70:30,"(256, 128, 64, 32, 16)",logistic,0.018,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
130,70:30,"(256, 128, 64, 32, 16)",logistic,0.0111,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
131,70:30,"(256, 128, 64, 32, 16)",relu,0.04,32,0.0061,0.9939,0.997,0.9959,0.9795,0.9971,0.9867,1.0,0.997,0.9913,0.9896,5250,3675,1575
132,70:30,"(256, 128, 64, 32, 16)",relu,0.08,32,0.00638,0.9936,0.9949,0.9953,0.9856,0.9968,0.9864,1.0,0.9958,0.9908,0.9928,5250,3675,1575
133,70:30,"(256, 128, 64, 32, 16)",relu,0.06,20,0.01333,0.9867,0.9847,0.987,0.9923,0.9954,0.9747,0.9854,0.9901,0.9808,0.9888,5250,3675,1575
134,70:30,"(256, 128, 64, 32, 16)",relu,0.005,38,0.01029,0.9897,0.9911,0.9912,0.9816,0.9985,0.9793,0.9848,0.9948,0.9852,0.9832,5250,3675,1575
135,70:30,"(256, 128, 64, 32, 16)",relu,0.009,34,0.006,0.994,0.9936,0.9951,0.993,0.9992,0.9878,0.9911,0.9964,0.9914,0.9921,5250,3675,1575
136,70:30,"(256, 128, 64, 32, 16)",relu,0.007,34,0.00686,0.9931,0.9956,0.9934,0.9842,0.999,0.9869,0.9879,0.9973,0.9902,0.9861,5250,3675,1575
137,70:30,"(256, 128, 64, 32, 16)",relu,0.2,30,0.00676,0.9932,0.9906,0.9978,0.9918,0.999,0.9829,0.9981,0.9948,0.9903,0.9949,5250,3675,1575
138,70:30,"(256, 128, 64, 32, 16)",relu,0.6,16,0.2781,0.7253,0.7005,0.8673,0.7395,0.9878,0.258,0.941,0.8197,0.3977,0.8282,5250,3675,1575
139,70:30,"(256, 128, 64, 32, 16)",relu,0.012,24,0.0101,0.9899,0.9898,0.9909,0.9879,0.999,0.9801,0.9822,0.9944,0.9855,0.985,5250,3675,1575
140,70:30,"(256, 128, 64, 32, 16)",relu,0.01,32,0.01124,0.9888,0.9902,0.9989,0.9621,0.9996,0.969,0.9987,0.9949,0.9837,0.9801,5250,3675,1575
141,70:30,"(256, 128, 64, 32, 16)",relu,0.015,32,0.0061,0.9939,0.9934,0.9986,0.985,0.9996,0.9839,0.9981,0.9965,0.9912,0.9915,5250,3675,1575
142,70:30,"(256, 128, 64, 32, 16)",relu,0.018,32,0.00352,0.9965,0.9964,0.9992,0.9906,0.9996,0.9907,0.9994,0.998,0.9949,0.9949,5250,3675,1575
143,70:30,"(256, 128, 64, 32, 16)",relu,0.0111,55,0.00143,0.9986,1.0,0.9976,0.9962,0.9989,0.9984,0.9981,0.9994,0.998,0.9971,5250,3675,1575
144,70:30,"(256, 128, 64, 32, 16)",tanh,0.04,32,0.01257,0.9874,0.9872,0.9958,0.9698,0.9971,0.9682,1.0,0.9921,0.9818,0.9847,5250,3675,1575
145,70:30,"(256, 128, 64, 32, 16)",tanh,0.08,32,0.01143,0.9886,0.9874,0.9958,0.9764,0.9973,0.9714,0.9994,0.9923,0.9835,0.9878,5250,3675,1575
146,70:30,"(256, 128, 64, 32, 16)",tanh,0.06,32,0.01238,0.9876,0.9866,0.9955,0.9734,0.997,0.969,1.0,0.9918,0.9821,0.9865,5250,3675,1575
147,70:30,"(256, 128, 64, 32, 16)",tanh,0.005,33,0.00495,0.995,0.9966,0.9916,0.9981,0.9989,0.9943,0.9841,0.9977,0.9929,0.991,5250,3675,1575
148,70:30,"(256, 128, 64, 32, 16)",tanh,0.009,41,0.00267,0.9973,0.9996,0.9957,0.9937,0.9983,0.9967,0.9956,0.999,0.9962,0.9946,5250,3675,1575
149,70:30,"(256, 128, 64, 32, 16)",tanh,0.007,27,0.00971,0.9903,0.987,0.9967,0.9868,0.9998,0.9755,0.993,0.9934,0.986,0.9899,5250,3675,1575
